category,subcate,NAME,UNIDAD,PRECIO,PREC
Frutas,"Papayas, Piñas y Tropicales","Aguaymanto  
										FRUTIFAST",Envase x 250g,S/ 5.89,
Mundo Chino,Verdura China,"Ajos Pelados  
										TOTTUS",Envase x 250g,S/ 9.89,
Verduras,"Brócoli, Apio y Hortalizas","Apio   
										TOTTUS",Unidad,S/ 2.29,
Verduras,"Brócoli, Apio y Hortalizas","Pimiento Morron   
										TOTTUS",300g es aprox. 2un,S/ 1.80,"(
      S/ 5.99
    /KG)"
Mundo Chino,Ver todas,"Ajos Pelados  
										TOTTUS",Envase x 250g,S/ 9.89,
Verduras,Ver Todas,"Lechuga Crespa   
										TOTTUS",Bolsa x 300g,S/ 2.49,
Mundo Chino,Ver todas,"Brocoli  
										TOTTUS",600g es aprox. 1un,S/ 2.99,"(
      S/ 4.99
    /KG)"
Más Verduras,Ensaladas y Verduras Empacadas / Picadas,"Mix de Lechugas   
										VERDE PURO",Bolsa x 200g,S/ 5.69,
Verduras,"Cebollas, Ajos y otros Básicos","Aji Amarillo  
										TOTTUS",100g es aprox. 2un,S/ 0.48,"(
      S/ 4.79
    /KG)"
Verduras,"Papas, Camotes y otros Tubérculos","Papa Blanca Yungay Natural   
										TOTTUS",1.4Kg es aprox. 4un,S/ 3.49,"(
      S/ 2.49
    /KG)"
Mundo Chino,Verdura China,"Cebolla Roja  
										TOTTUS",1Kg es aprox. 4un,S/ 1.49,"(
      S/ 1.49
    /KG)"
Frutas,"Limones, Naranjas y otros Cítricos","Limón Tahití   
										TOTTUS",200g es aprox. 6un,S/ 0.80,"(
      S/ 3.99
    /KG)"
Verduras,"Cebollas, Ajos y otros Básicos","Cebolla Blanca   
										TOTTUS",600g es aprox. 2un,S/ 1.19,"(
      S/ 1.99
    /KG)"
Más Verduras,Ver Todas,"Arveja Americana   
										TOTTUS",Granel,S/ 0.60,"(
      S/ 5.99
    /KG)"
Frutas,"Papayas, Piñas y Tropicales","Piña Hawai   
										TOTTUS",1.8Kg es aprox. 1un,S/ 3.04,"(
      S/ 1.69
    /KG)"
Verduras,"Papas, Camotes y otros Tubérculos","Camote Amarillo  
										TOTTUS",800g es aprox. 2un,S/ 1.27,"(
      S/ 1.59
    /KG)"
Frutas,"Manzanas, Plátanos y otros Básicos","Manzana Roja Importada Premium   
										TOTTUS",1Kg es aprox. 5un,S/ 6.99,"(
      S/ 6.99
    /KG)"
Verduras,"Papas, Camotes y otros Tubérculos","Yuca Amarilla   
										TOTTUS",500g es aprox. 1un,S/ 1.44,"(
      S/ 2.89
    /KG)"
Mundo Chino,Ver todas,"Col China Mitad   
										TOTTUS",Unidad,S/ 5.49,
Verduras,"Choclos, Tomates y Lechugas","Lechuga Crespa   
										TOTTUS",Bolsa x 300g,S/ 2.49,
Más Verduras,Ensaladas y Verduras Empacadas / Picadas,"Ensalada Rusa   
										TOTTUS",Envase x 500g,S/ 8.99,
Verduras,"Cebollas, Ajos y otros Básicos","Aji Mirasol   
										TOTTUS",50g es aprox. 5un,S/ 1.09,"(
      S/ 21.79
    /KG)"
Frutas,"Manzanas, Plátanos y otros Básicos","Plátano Biscocho  
										TOTTUS",1Kg es aprox. 10un,S/ 5.59,"(
      S/ 5.59
    /KG)"
Frutas,Fresas y Berries,"Blueberrie Premium  
										TOTTUS",Envase x 125g,S/ 2.99,
Frutas,"Manzanas, Plátanos y otros Básicos","Plátano de Isla   
										TOTTUS",Unidad,S/ 0.89,
Frutas,Fresas y Berries,"Aguaymanto  
										FRUTIFAST",Envase x 250g,S/ 5.89,
Más Verduras,Ensaladas y Verduras Empacadas / Picadas,"Ensalada Mix de Lechuga  
										TOTTUS",Envase x 150g,S/ 5.70,
Más Verduras,Ver Todas,"Olluquito  
										TOTTUS",Envase x 50g,S/ 7.99,
Más Verduras,Hierbas Aromáticas / Infusiones,"Hierba Buena   
										TOTTUS",Unidad,S/ 1.49,
Verduras,"Cebollas, Ajos y otros Básicos","Cebollita Baby  
										LINEA VERDE",Envase x 250g,S/ 6.69,
Frutas,"Manzanas, Plátanos y otros Básicos","Pera Packhams   
										TOTTUS",600g es aprox. 4un,S/ 3.89,"(
      S/ 6.49
    /KG)"
Más Verduras,Ensaladas y Verduras Empacadas / Picadas,"Arverjita   
										TOTTUS",Envase x 200g,S/ 6.99,
Frutas,"Manzanas, Plátanos y otros Básicos","Manzana Delicia   
										TOTTUS",570g es aprox. 5un,S/ 1.88,"(
      S/ 3.29
    /KG)"
Frutas,Fresas y Berries,"Aguaymanto  
										TOTTUS",Envase x 250g,S/ 5.69,
Verduras,"Cebollas, Ajos y otros Básicos","Aji Limo   
										TOTTUS",50g es aprox. 2un,S/ 0.50,"(
      S/ 9.99
    /KG)"
Verduras,"Papas, Camotes y otros Tubérculos","Papa Perricholi Procesada   
										TOTTUS",1Kg es aprox. 4un,S/ 3.59,"(
      S/ 3.59
    /KG)"
Verduras,Ver Todas,"Lechuga Americana   
										TOTTUS",Unidad,S/ 1.99,
Mundo Chino,Verdura China,"Jo Lan Tau  
										TOTTUS",Granel,S/ 4.47,"(
      S/ 14.89
    /KG)"
Más Verduras,Hierbas Aromáticas / Infusiones,"Culantro   
										TOTTUS",Atado,S/ 0.89,
Verduras,"Choclos, Tomates y Lechugas","Lechuga Romana  
										VERDE PURO",Bolsa,S/ 3.99,
Más Verduras,Hierbas Aromáticas / Infusiones,"Albahaca  
										TOTTUS",Atado,S/ 1.99,
Verduras,"Brócoli, Apio y Hortalizas","Zapallo Italiano   
										TOTTUS",Unidad,S/ 2.39,
Frutas,"Papayas, Piñas y Tropicales","Sandía Rayada  
										TOTTUS",5Kg es aprox. 1/2 sandia,S/ 9.95,"(
      S/ 1.99
    /KG)"
Verduras,"Cebollas, Ajos y otros Básicos","Aji Panca  
										TOTTUS",50g es aprox. 5un,S/ 1.50,"(
      S/ 29.99
    /KG)"
Frutas,"Manzanas, Plátanos y otros Básicos","Manzana Granny Smith Importada   
										TOTTUS",600g es aprox. 4un,S/ 4.49,"(
      S/ 7.49
    /KG)"
Verduras,"Brócoli, Apio y Hortalizas","Brocoli  
										TOTTUS",600g es aprox. 1un,S/ 2.99,"(
      S/ 4.99
    /KG)"
Verduras,Ver Todas,"Champiñon Entero  
										TOTTUS",Envase x 200g,S/ 4.99,
Más Verduras,Ensaladas y Verduras Empacadas / Picadas,"Ensalada Mixta   
										TOTTUS",Envase x 500g,S/ 8.49,
Verduras,"Choclos, Tomates y Lechugas","Maíz Morado  
										TOTTUS",1Kg es aprox. 6un,S/ 7.99,"(
      S/ 7.99
    /KG)"
Frutas,"Papayas, Piñas y Tropicales","Maracuyá  
										TOTTUS",1Kg es aprox. 5un,S/ 2.99,"(
      S/ 2.99
    /KG)"
Verduras,Ver Todas,"Aji Limo   
										TOTTUS",50g es aprox. 2un,S/ 0.50,"(
      S/ 9.99
    /KG)"
Verduras,Ver Todas,"Cebolla Roja  
										TOTTUS",1Kg es aprox. 4un,S/ 1.49,"(
      S/ 1.49
    /KG)"
Mundo Chino,Masa Wantan y Otros,"Fideos Chinos  
										SAN SEN",Bolsa x 500g,S/ 2.99,
Frutas,"Papayas, Piñas y Tropicales","Piña Golden   
										TOTTUS",2Kg es aprox. 1un,S/ 9.18,"(
      S/ 4.59
    /KG)"
Verduras,Ver Todas,"Camote Amarillo  
										TOTTUS",800g es aprox. 2un,S/ 1.27,"(
      S/ 1.59
    /KG)"
Frutas,"Papayas, Piñas y Tropicales","Mix Berries Aguaymanto y Blueberrie  
										EL HUERTO",Envase x 300g,S/ 9.99,
Frutas,"Manzanas, Plátanos y otros Básicos","Tuna Verde  
										TOTTUS",700g es aprox. 4un,S/ 5.59,"(
      S/ 7.99
    /KG)"
Más Verduras,Ver Todas,"Hierba Luisa   
										TOTTUS",Unidad,S/ 1.19,
Verduras,Setas y Hongos,"Champiñon Picado  
										PACCU",Envase x 200g,S/ 5.99,
Mundo Chino,Verdura China,"Nabo   
										TOTTUS",Unidad,S/ 1.19,
Verduras,Ver Todas,"Aji Panca  
										TOTTUS",50g es aprox. 5un,S/ 1.50,"(
      S/ 29.99
    /KG)"
Verduras,Paltas y Derivados,"Palta Madura (Consumo en el Día)  
										TOTTUS",600g es aprox. 2un,S/ 9.23,"(
      S/ 15.39
    /KG)"
Verduras,"Brócoli, Apio y Hortalizas","Espinaca   
										TOTTUS",400g es aprox. 1 bolsa,S/ 2.20,"(
      S/ 5.49
    /KG)"
Verduras,"Choclos, Tomates y Lechugas","Choclo Serrano Selecto   
										TOTTUS",Unidad,S/ 1.99,
Verduras,Setas y Hongos,"Champiñon Entero  
										PACCU",Envase x 200g,S/ 5.99,
Más Verduras,Ver Todas,"Verduras para Sopa de Verduras   
										TOTTUS",Envase x 300g,S/ 5.99,
Frutas,Paltas y Derivados,"Palta Madura (Consumo en el Día)  
										TOTTUS",600g es aprox. 2un,S/ 9.23,"(
      S/ 15.39
    /KG)"
Más Frutas,Frutas importadas,"Manzana Granny Smith Importada   
										TOTTUS",600g es aprox. 4un,S/ 4.49,"(
      S/ 7.49
    /KG)"
Mundo Chino,Ver todas,"Frijol Chino   
										TOTTUS",200g es aprox. 1 puñado,S/ 1.20,"(
      S/ 5.99
    /KG)"
Mundo Chino,Ver todas,"Ajo Entero sin Pelar  
										TOTTUS",70g es aprox. 2un,S/ 0.91,"(
      S/ 12.99
    /KG)"
Frutas,Fresas y Berries,"Blueberrie Premium  
										TOTTUS",Envase x 500g,S/ 11.99,
Más Verduras,Ver Todas,"Culantro   
										TOTTUS",Atado,S/ 0.89,
Más Verduras,Ver Todas,"Mix de Lechugas   
										VERDE PURO",Bolsa x 200g,S/ 5.69,
Mundo Chino,Ver todas,"Pasta Wantan   
										LA PASTA",Bolsa x 500g,S/ 2.99,
Frutas,Fresas y Berries,"Mix Berries Aguaymanto y Blueberrie  
										EL HUERTO",Envase x 300g,S/ 9.99,
Verduras,"Papas, Camotes y otros Tubérculos","Papa Cocktail   
										TOTTUS",1.6Kg es aprox. 1 malla,S/ 3.98,"(
      S/ 2.49
    /KG)"
Más Verduras,Ensaladas y Verduras Empacadas / Picadas,"Verduras para Sopa de Verduras  
										TOTTUS",Envase x 600g,S/ 8.99,
Frutas,Fresas y Berries,"Fresas Empacadas  
										TOTTUS",Envase x 550g,S/ 7.99,
Más Verduras,Ver Todas,"Ensalada Personal  
										TOTTUS",Envase x 140g,S/ 6.69,
Mundo Chino,Verdura China,"Col China Mitad   
										TOTTUS",Unidad,S/ 5.49,
Mundo Chino,Ver todas,"Apio   
										TOTTUS",Unidad,S/ 2.29,
Frutas,Fresas y Berries,"Mix Berries Frambuesa y Bluberrie  
										EL HUERTO",Envase x 100g,S/ 7.99,
Verduras,Ver Todas,"Choclo Serrano Selecto   
										TOTTUS",Unidad,S/ 1.99,
Verduras,Ver Todas,"Cebolla Blanca   
										TOTTUS",600g es aprox. 2un,S/ 1.19,"(
      S/ 1.99
    /KG)"
Verduras,"Brócoli, Apio y Hortalizas","Caihua   
										TOTTUS",Unidad,S/ 0.89,
Más Verduras,Ver Todas,"Salad Mix Primavera   
										LINEA VERDE",Envase x 200g,S/ 8.69,
Verduras,Ver Todas,"Champiñon Entero  
										PACCU",Envase x 200g,S/ 5.99,
Frutas,"Manzanas, Plátanos y otros Básicos","Durazno Premium  
										TOTTUS",500g es aprox. 4un,S/ 5.50,"(
      S/ 10.99
    /KG)"
Frutas,"Papayas, Piñas y Tropicales","Tuna Verde  
										TOTTUS",700g es aprox. 4un,S/ 5.59,"(
      S/ 7.99
    /KG)"
Mundo Chino,Verdura China,"Esparrago Verde  
										LA CASTELLANA",Atado x 250g,S/ 5.59,
Más Verduras,Ensaladas y Verduras Empacadas / Picadas,"Ensalada Personal  
										TOTTUS",Envase x 140g,S/ 6.69,
Mundo Chino,Ver todas,"Nabo   
										TOTTUS",Unidad,S/ 1.19,
Frutas,Fresas y Berries,"Zarzamora  
										TOTTUS",Envase x 100g,S/ 7.29,
Frutas,"Limones, Naranjas y otros Cítricos","Naranja de Jugo Extra  
										TOTTUS",1Kg es aprox. 4un,S/ 1.39,"(
      S/ 1.39
    /KG)"
Verduras,Ver Todas,"Papa Rosada Canchán Procesada  
										TOTTUS",1.5Kg es aprox. 4un,S/ 3.88,"(
      S/ 2.59
    /KG)"
Mundo Chino,Verdura China,"Ajo Entero sin Pelar  
										TOTTUS",70g es aprox. 2un,S/ 0.91,"(
      S/ 12.99
    /KG)"
Mundo Chino,Ver todas,"Berenjena   
										TOTTUS",Unidad,S/ 2.89,
Verduras,"Cebollas, Ajos y otros Básicos","Ajo Entero sin Pelar  
										TOTTUS",70g es aprox. 2un,S/ 0.91,"(
      S/ 12.99
    /KG)"
Frutas,"Papayas, Piñas y Tropicales","Granadilla Premium   
										TOTTUS",Unidad,S/ 0.69,
Más Verduras,Ver Todas,"Perejil   
										TOTTUS",Unidad,S/ 0.79,
Frutas,Fresas y Berries,"Fresas Organicas Empacadas  
										TOTTUS",Envase x 550g,S/ 13.99,
Verduras,"Cebollas, Ajos y otros Básicos","Cebolla Roja  
										TOTTUS",1Kg es aprox. 4un,S/ 1.49,"(
      S/ 1.49
    /KG)"
Verduras,Setas y Hongos,"Champiñon Entero  
										TOTTUS",Envase x 200g,S/ 4.99,
Verduras,"Brócoli, Apio y Hortalizas","Alcachofa   
										TOTTUS",Unidad,S/ 3.49,
Frutas,"Manzanas, Plátanos y otros Básicos","Plátano de Seda Extra   
										TOTTUS",1.2Kg es aprox. 6un,S/ 2.99,"(
      S/ 2.49
    /KG)"
Verduras,"Brócoli, Apio y Hortalizas","Col China Mitad   
										TOTTUS",Unidad,S/ 5.49,
Verduras,"Papas, Camotes y otros Tubérculos","Papa Negra Andina Procesada   
										TOTTUS",1Kg es aprox. 4un,S/ 3.99,"(
      S/ 3.99
    /KG)"
Frutas,"Manzanas, Plátanos y otros Básicos","Manzana Nacional   
										TOTTUS",440g es aprox. 6un,S/ 2.02,"(
      S/ 4.59
    /KG)"
Frutas,Uvas,"Uva Thompson Seedless Importada   
										TOTTUS",Granel,S/ 2.50,"(
      S/ 9.99
    /KG)"
Verduras,"Brócoli, Apio y Hortalizas","Poro   
										TOTTUS",Unidad,S/ 1.59,
Frutas,"Manzanas, Plátanos y otros Básicos","Durazno Huayco Extra Empacado   
										TOTTUS",Envase es aprox. 900g,S/ 13.49,"(
      S/ 14.99
    /KG)"
Verduras,Ver Todas,"Aji Mirasol   
										TOTTUS",50g es aprox. 5un,S/ 1.09,"(
      S/ 21.79
    /KG)"
Frutas,"Manzanas, Plátanos y otros Básicos","Durazno Huayco para Dulce Empacado  
										TOTTUS",Envase es aprox. 800g,S/ 6.39,"(
      S/ 7.99
    /KG)"
Mundo Chino,Verdura China,"Cebollita China   
										TOTTUS",Unidad,S/ 1.99,
Más Verduras,Hierbas Aromáticas / Infusiones,"Albahaca   
										TOTTUS",Bolsa x 100g,S/ 4.39,
Mundo Chino,Ver todas,"Champiñon Entero  
										TOTTUS",Envase x 200g,S/ 4.99,
Mundo Chino,Verdura China,"Berenjena   
										TOTTUS",Unidad,S/ 2.89,
Frutas,Fresas y Berries,"Aguaymanto   
										TOTTUS",330g aprox. Envase,S/ 3.96,"(
      S/ 11.99
    /KG)"
Frutas,"Papayas, Piñas y Tropicales","Plátano Biscocho  
										TOTTUS",1Kg es aprox. 10un,S/ 5.59,"(
      S/ 5.59
    /KG)"
Más Verduras,Ensaladas y Verduras Empacadas / Picadas,"Verduras para Estofado de Carne   
										TOTTUS",Envase x 200g,S/ 6.99,
Más Frutas,Frutas importadas,"Pera Packhams   
										TOTTUS",600g es aprox. 4un,S/ 3.89,"(
      S/ 6.49
    /KG)"
Mundo Chino,Verdura China,"Frijol Chino   
										TOTTUS",200g es aprox. 1 puñado,S/ 1.20,"(
      S/ 5.99
    /KG)"
Verduras,"Brócoli, Apio y Hortalizas","Col Corazon Mitad   
										TOTTUS",Unidad,S/ 2.59,
Mundo Chino,Ver todas,"Pasta Wantan   
										SAN SEN",Bolsa x 500g,S/ 2.99,
Verduras,Ver Todas,"Papa Amarilla Procesada   
										TOTTUS",1Kg es aprox. 4un,S/ 4.99,"(
      S/ 4.99
    /KG)"
Más Verduras,Ver Todas,"Rabanito   
										TOTTUS",600g es aprox. 10un,S/ 2.99,"(
      S/ 4.99
    /KG)"
Mundo Chino,Verdura China,"Apio   
										TOTTUS",Unidad,S/ 2.29,
Frutas,"Papayas, Piñas y Tropicales","Lúcuma Madura  
										TOTTUS",500g es aprox. 3un,S/ 7.74,"(
      S/ 15.49
    /KG)"
Mundo Chino,Masa Wantan y Otros,"Pasta Wantan   
										LA PASTA",Bolsa x 500g,S/ 2.99,
Frutas,"Papayas, Piñas y Tropicales","Chirimoya Cumbe   
										TOTTUS",800g es aprox. 1un,S/ 7.99,"(
      S/ 9.99
    /KG)"
Verduras,"Papas, Camotes y otros Tubérculos","Olluco  
										TOTTUS",Granel,S/ 7.11,"(
      S/ 8.89
    /KG)"
Más Verduras,Ver Todas,"Huacatay   
										TOTTUS",Unidad,S/ 1.59,
Verduras,Setas y Hongos,"Champiñon Crimini Picado  
										PACCU",Envase x 200g,S/ 7.79,
Verduras,"Papas, Camotes y otros Tubérculos","Papa Huayro Procesada   
										TOTTUS",1.5Kg es aprox. 4un,S/ 6.44,"(
      S/ 4.29
    /KG)"
Más Frutas,Frutas importadas,"Manzana Roja Importada Premium   
										TOTTUS",1Kg es aprox. 5un,S/ 6.99,"(
      S/ 6.99
    /KG)"
Frutas,"Manzanas, Plátanos y otros Básicos","Plátano de Seda Orgánico   
										TOTTUS",1Kg es aprox. 6un,S/ 4.49,"(
      S/ 4.49
    /KG)"
Verduras,"Choclos, Tomates y Lechugas","Lechuga Seda Hidropónica  
										TOTTUS",Bolsa x 150g,S/ 3.39,
Más Verduras,Ensaladas y Verduras Empacadas / Picadas,"Habas   
										TOTTUS",Envase 200 Gr,S/ 7.59,
Frutas,"Papayas, Piñas y Tropicales","Granadilla Golden Premium  
										TOTTUS",Envase 6 Un,S/ 7.69,
Verduras,"Choclos, Tomates y Lechugas","Lechuga Americana   
										TOTTUS",Unidad,S/ 1.99,
Frutas,"Papayas, Piñas y Tropicales","Papaya Premium   
										TOTTUS",2.2Kg es aprox. 1un,S/ 8.78,"(
      S/ 3.99
    /KG)"
Frutas,"Limones, Naranjas y otros Cítricos","Maracuyá  
										TOTTUS",1Kg es aprox. 5un,S/ 2.99,"(
      S/ 2.99
    /KG)"
Verduras,"Cebollas, Ajos y otros Básicos","Kión   
										TOTTUS",Granel,S/ 1.60,"(
      S/ 7.99
    /KG)"
Frutas,"Manzanas, Plátanos y otros Básicos","Plátano Bellaco   
										TOTTUS",Unidad,S/ 1.19,
Frutas,"Limones, Naranjas y otros Cítricos","Mandarina con Pepa  
										TOTTUS",1Kg es aprox. 5un,S/ 2.99,"(
      S/ 2.99
    /KG)"
Verduras,Setas y Hongos,"Champiñon Picado  
										TOTTUS",Envase x 200g,S/ 5.69,
Mundo Chino,Verdura China,"Pimiento Morron   
										TOTTUS",300g es aprox. 2un,S/ 1.80,"(
      S/ 5.99
    /KG)"
