web-scraper-order,web-scraper-start-url,category,category-href,subcate,subcate-href,PRODU,PRODU-href,NAME,UNIDAD,PRECIO,PREC
"1572321779-390","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Verduras","https://www.tottus.com.pe/tottus/browse/Verduras/11.02","Papas, Camotes y otros Tubérculos","https://www.tottus.com.pe/tottus/browse/Papas,-Camotes-y-otros-Tub%C3%A9rculos/cat1260016","","https://www.tottus.com.pe/tottus/product/TOTTUS/Papa-Huayro-Procesada/20009061?navAction=jump&navCount=198","Papa Huayro Procesada   
										TOTTUS","1.5Kg es aprox. 4un","S/ 6.44","(
      S/ 4.29
    /KG)"
"1572321959-435","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Más Frutas","https://www.tottus.com.pe/tottus/browse/M%C3%A1s-Frutas/cat1310036","Frutas importadas","https://www.tottus.com.pe/tottus/browse/Frutas-importadas/11.01.03","","https://www.tottus.com.pe/tottus/product/TOTTUS/Manzana-Roja-Importada-Premium/40632061?navAction=jump&navCount=290","Manzana Roja Importada Premium   
										TOTTUS","1Kg es aprox. 5un","S/ 6.99","(
      S/ 6.99
    /KG)"
"1572322118-472","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Frutas","https://www.tottus.com.pe/tottus/browse/Frutas/11.01","Manzanas, Plátanos y otros Básicos","https://www.tottus.com.pe/tottus/browse/Manzanas,-Pl%C3%A1tanos-y-otros-B%C3%A1sicos/11.01.06","","https://www.tottus.com.pe/tottus/product/TOTTUS/Pl%C3%A1tano-de-Seda-Org%C3%A1nico/40367048?navAction=jump&navCount=364","Plátano de Seda Orgánico   
										TOTTUS","1Kg es aprox. 6un","S/ 4.49","(
      S/ 4.49
    /KG)"
"1572321924-427","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Verduras","https://www.tottus.com.pe/tottus/browse/Verduras/11.02","Choclos, Tomates y Lechugas","https://www.tottus.com.pe/tottus/browse/Choclos,-Tomates-y-Lechugas/11.02.04","","https://www.tottus.com.pe/tottus/product/TOTTUS/Lechuga-Seda-Hidrop%C3%B3nica/41139592?navAction=jump&navCount=272","Lechuga Seda Hidropónica  
										TOTTUS","Bolsa x 150g","S/ 3.39",""
"1572321659-360","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Más Verduras","https://www.tottus.com.pe/tottus/browse/M%C3%A1s-Verduras/11.04","Ensaladas y Verduras Empacadas / Picadas","https://www.tottus.com.pe/tottus/browse/Ensaladas-y-Verduras-Empacadas-Picadas/11.02.07","","https://www.tottus.com.pe/tottus/product/TOTTUS/Habas/41076344?navAction=jump&navCount=126","Habas   
										TOTTUS","Envase 200 Gr","S/ 7.59",""
"1572322072-460","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Frutas","https://www.tottus.com.pe/tottus/browse/Frutas/11.01","Papayas, Piñas y Tropicales","https://www.tottus.com.pe/tottus/browse/Papayas,-Pi%C3%B1as-y-Tropicales/11.01.09","","https://www.tottus.com.pe/tottus/product/TOTTUS/Granadilla-Golden-Premium/40617103?navAction=jump&navCount=334","Granadilla Golden Premium  
										TOTTUS","Envase 6 Un","S/ 7.69",""
"1572321933-430","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Verduras","https://www.tottus.com.pe/tottus/browse/Verduras/11.02","Choclos, Tomates y Lechugas","https://www.tottus.com.pe/tottus/browse/Choclos,-Tomates-y-Lechugas/11.02.04","","https://www.tottus.com.pe/tottus/product/TOTTUS/Lechuga-Americana/10163014?navAction=jump&navCount=272","Lechuga Americana   
										TOTTUS","Unidad","S/ 1.99",""
"1572322107-470","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Frutas","https://www.tottus.com.pe/tottus/browse/Frutas/11.01","Papayas, Piñas y Tropicales","https://www.tottus.com.pe/tottus/browse/Papayas,-Pi%C3%B1as-y-Tropicales/11.01.09","","https://www.tottus.com.pe/tottus/product/TOTTUS/Papaya-Premium/40617105?navAction=jump&navCount=334","Papaya Premium   
										TOTTUS","2.2Kg es aprox. 1un","S/ 8.78","(
      S/ 3.99
    /KG)"
"1572322044-454","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Frutas","https://www.tottus.com.pe/tottus/browse/Frutas/11.01","Limones, Naranjas y otros Cítricos","https://www.tottus.com.pe/tottus/browse/Limones,-Naranjas-y-otros-C%C3%ADtricos/11.01.02","","https://www.tottus.com.pe/tottus/product/TOTTUS/Maracuy%C3%A1/10162612?navAction=jump&navCount=322","Maracuyá  
										TOTTUS","1Kg es aprox. 5un","S/ 2.99","(
      S/ 2.99
    /KG)"
"1572321823-401","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Verduras","https://www.tottus.com.pe/tottus/browse/Verduras/11.02","Cebollas, Ajos y otros Básicos","https://www.tottus.com.pe/tottus/browse/Cebollas,-Ajos-y-otros-B%C3%A1sicos/11.02.02","","https://www.tottus.com.pe/tottus/product/TOTTUS/Ki%C3%B3n/10162911?navAction=jump&navCount=220","Kión   
										TOTTUS","Granel","S/ 1.60","(
      S/ 7.99
    /KG)"
"1572322121-473","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Frutas","https://www.tottus.com.pe/tottus/browse/Frutas/11.01","Manzanas, Plátanos y otros Básicos","https://www.tottus.com.pe/tottus/browse/Manzanas,-Pl%C3%A1tanos-y-otros-B%C3%A1sicos/11.01.06","","https://www.tottus.com.pe/tottus/product/TOTTUS/Pl%C3%A1tano-Bellaco/10162538?navAction=jump&navCount=364","Plátano Bellaco   
										TOTTUS","Unidad","S/ 1.19",""
"1572322035-451","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Frutas","https://www.tottus.com.pe/tottus/browse/Frutas/11.01","Limones, Naranjas y otros Cítricos","https://www.tottus.com.pe/tottus/browse/Limones,-Naranjas-y-otros-C%C3%ADtricos/11.01.02","","https://www.tottus.com.pe/tottus/product/TOTTUS/Mandarina-con-Pepa/10162617?navAction=jump&navCount=322","Mandarina con Pepa  
										TOTTUS","1Kg es aprox. 5un","S/ 2.99","(
      S/ 2.99
    /KG)"
"1572321754-384","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Verduras","https://www.tottus.com.pe/tottus/browse/Verduras/11.02","Setas y Hongos","https://www.tottus.com.pe/tottus/browse/Setas-y-Hongos/cat1260020","","https://www.tottus.com.pe/tottus/product/TOTTUS/Champi%C3%B1on-Picado/41041148?navAction=jump&navCount=188","Champiñon Picado  
										TOTTUS","Envase x 200g","S/ 5.69",""
"1572321521-323","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Mundo Chino","https://www.tottus.com.pe/tottus/browse/Mundo-Chino/cat1260024","Verdura China","https://www.tottus.com.pe/tottus/browse/Verdura-China/cat1260025","","https://www.tottus.com.pe/tottus/product/TOTTUS/Pimiento-Morron/10163556?navAction=jump&navCount=52","Pimiento Morron   
										TOTTUS","300g es aprox. 2un","S/ 1.80","(
      S/ 5.99
    /KG)"
